IP Address ,Browser,Ip Time Zone,FingerPrint Authenticity,Platform,Location,Language,Postal_Code,ISP,Proxy,Bot Detection
********,GSA 236.0.484392333,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.2.0.33.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  92%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.3,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.3.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.3.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Electron 1.8.8,Europe/Istanbul,Browser fingerprint authenticity:  90%,Mac OS 10.15.7,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Mac OS 10.15.7,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 390.1.0.38.101,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 9,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 9,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 70.0.3538.110,Europe/Istanbul,Browser fingerprint authenticity:  90%,Android 4.2.2,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 4.2.2,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.2.0.33.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Huawei Browser 12.1.3.304,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 8.0.0,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 8.0.0,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,IE 7.0,Europe/Istanbul,Browser fingerprint authenticity:  100%,Windows XP,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows XP,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome WebView 107.0.5304.91,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.0.0.30.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 9,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 9,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 391.1.0.37.104,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 6.0.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 6.0.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Instagram 260.1.0.16.106,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.4.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.4.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Instagram 260.1.0.16.106,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 16.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 16.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Firefox 106.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.0.0.30.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Firefox 106.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Opera 92.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 85.0.4183.81,Europe/Istanbul,Browser fingerprint authenticity:  87%,Android 5.0.2,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 5.0.2,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Samsung Internet 19.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Instagram 260.0.0.23.115,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Edge 107.0.1418.42,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 386.0.0.35.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,DuckDuckGo 5,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Instagram 260.1.0.16.106,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.4.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.4.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Firefox 106.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Ubuntu undefined,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Ubuntu undefined,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 16.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 16.0.2,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 16.0.2,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.2.0.33.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 14.1.2,Europe/Istanbul,Browser fingerprint authenticity:  92%,iOS 14.8.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 14.8.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 16.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 16.0.3,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 16.0.3,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Firefox 106.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Instagram 260.1.0.16.106,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  90%,Mac OS 10.15.7,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Mac OS 10.15.7,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 106.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 11,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 11,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Mobile Safari 15.6,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  95%,Windows 8.1,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 8.1,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No